time_s,temperature_C,pwm,heat_cool
154.966,46.72,254,1
155.105,46.53,254,1
155.244,46.34,254,1
155.383,46.14,254,1
155.523,45.93,254,1
155.662,45.74,254,1
155.801,45.52,254,1
155.94,45.32,254,1
156.079,45.12,254,1
156.218,44.91,254,1
156.358,44.7,254,1
156.497,44.5,254,1
156.636,44.29,254,1
156.775,44.07,254,1
156.914,43.86,254,1
157.053,43.65,254,1
157.192,43.44,254,1
157.332,43.23,254,1
157.471,43.02,254,1
157.61,42.82,254,1
157.749,42.61,254,1
157.888,42.4,254,1
158.027,42.19,254,1
158.166,41.98,254,1
158.305,41.77,254,1
158.444,41.57,254,1
158.584,41.36,254,1
158.723,41.17,254,1
158.862,40.96,254,1
159.001,40.76,254,1
159.14,40.56,254,1
159.279,40.36,254,1
159.418,40.16,254,1
